Alimentos ;Total
Arroz;160,3
Arroz integral;8,1
Preparações à base de arroz;2,4
Milho e preparações;20,4
Feijão;182,9
Feijão verde/corda;6,3
Preparações à base de feijão;8,4
Outras leguminosas;1,3
Alface;3,6
Couve;3,8
Repolho;1
Salada crua;14,8
Outras verduras;1,4
Abóbora;2,3
Cenoura;0,9
Chuchu;0,8
Pepino;0,6
Tomate;6,5
Outros  legumes;4,6
Batata-doce;2,5
Batata-inglesa;14,7
Batata-inglesa frita;0,5
Mandioca;6,1
Outros tubérculos;1,2
Abacaxi;1,4
Açaí;3
Banana;18,6
Laranja;20,6
Maçã;11,6
Mamão;6,4
Manga;4,7
Melancia;4,2
Tangerina;4,5
Uva;1,2
Salada de frutas;2,2
Outras frutas;7,7
Oleaginosas;0,4
Farinha de mandioca;7,1
Farofa;1,9
Cereais matinais;0,8
Massas;4,9
Macarrão instantâneo;5,3
Macarrão e preparações à base de macarrão;36,3
Pão de sal;53
Pão integral;0,9
Bolos;13,9
Biscoito doce;4
Biscoito salgado;6,8
Biscoito recheado;4,6
Pães, bolos e biscoitos diet/light;0,3
Carne bovina;63,2
Preparações à base de carne bovina;3
Carne suína;8,5
Aves;36,5
Preparações à base de aves;0,9
Peixes frescos e preparações;23,4
Peixes em conserva;0,4
Peixes salgados;2,9
Outros pescados;0,7
